Position,Const,Created,Modified,Description,Name,Known For,Birth Date
282,nm0000245,2025-11-15,2025-11-15,,"Robin Williams","Mrs. Doubtfire","July 21, 1951"
283,nm0000429,2025-11-15,2025-11-15,,"Melanie Griffith","Working Girl","August 9, 1957"
284,nm0000160,2025-11-15,2025-11-15,,"Ethan Hawke","Training Day","November 6, 1970"
285,nm0000198,2025-11-15,2025-11-15,,"Gary Oldman","Tinker Tailor Soldier Spy","March 21, 1958"
286,nm0005042,2025-11-15,2025-11-15,,"Jason Isaacs","Harry Potter and the Chamber of Secrets","June 6, 1963"
287,nm3915784,2025-11-15,2025-11-15,,"John Boyega","Star Wars: Episode VII - The Force Awakens","March 17, 1992"
288,nm0005017,2025-11-15,2025-11-15,,"Katie Holmes","Disturbing Behavior","December 18, 1978"
289,nm1092086,2025-11-15,2025-11-15,,"David Harbour","Revolutionary Road","April 10, 1975"
290,nm5097044,2025-11-15,2025-11-15,,"Isabela Merced","Superman","July 10, 2001"
291,nm0000179,2025-11-15,2025-11-15,,"Jude Law","The Talented Mr. Ripley","December 29, 1972"
292,nm0164809,2025-11-15,2025-11-15,,"Jason Clarke","Zero Dark Thirty","July 17, 1969"
293,nm0933940,2025-11-15,2025-11-15,,"Patrick Wilson","The Phantom of the Opera","July 3, 1973"
294,nm0000545,2025-11-15,2025-11-15,,"Helen Mirren","The Queen","July 26, 1945"
295,nm0447695,2025-11-15,2025-11-15,,"Anna Kendrick","Up in the Air","August 9, 1985"
296,nm1954240,2025-11-15,2025-11-15,,"Teresa Palmer","Warm Bodies","February 26, 1986"
297,nm2143282,2025-11-15,2025-11-15,,"Lupita Nyong'o","12 Years a Slave","March 1, 1983"
298,nm0000178,2025-11-15,2025-11-15,,"Diane Lane","Unfaithful","January 22, 1965"
299,nm0249291,2025-11-15,2025-11-15,,"Joel Edgerton","The Gift","June 23, 1974"
300,nm0068338,2025-11-15,2025-11-15,,"Kristen Bell","Frozen","July 18, 1980"
301,nm0000156,2025-11-15,2025-11-15,,"Jeff Goldblum","Jurassic Park","October 22, 1952"
302,nm0000096,2025-11-15,2025-11-15,,"Gillian Anderson","The X Files","August 9, 1968"
303,nm1519666,2025-11-15,2025-11-15,,"Eddie Redmayne","Les Misérables","January 6, 1982"
304,nm0205626,2025-11-15,2025-11-15,,"Viola Davis","Fences","August 11, 1965"
305,nm0000140,2025-11-15,2025-11-15,,"Michael Douglas","Behind the Candelabra","September 25, 1944"
306,nm0005188,2025-11-15,2025-11-15,,"James Marsden","Hairspray","September 18, 1973"
307,nm0000146,2025-11-15,2025-11-15,,"Ralph Fiennes","The Constant Gardener","December 22, 1962"
308,nm0000434,2025-11-15,2025-11-15,,"Mark Hamill","Star Wars","September 25"
309,nm0000123,2025-11-15,2025-11-15,,"George Clooney","The Ides of March","May 6, 1961"
310,nm0000174,2025-11-15,2025-11-15,,"Val Kilmer","The Doors","December 31, 1959"
311,nm0050959,2025-11-15,2025-11-15,,"Pedro Pascal","The Last of Us","April 2, 1975"
312,nm0001288,2025-11-15,2025-11-15,,"Kelsey Grammer","Cheers","February 21, 1955"
313,nm0136797,2025-11-15,2025-11-15,,"Steve Carell","The Office","August 16, 1962"
314,nm0000549,2025-11-15,2025-11-15,,"Roger Moore","Moonraker","October 14, 1927"
315,nm5473782,2025-11-15,2025-11-15,,"Taron Egerton","Kingsman: The Secret Service","November 10, 1989"
316,nm1102577,2025-11-15,2025-11-15,,"Elle Fanning","Super 8","April 9, 1998"
317,nm0000197,2025-11-15,2025-11-15,,"Jack Nicholson","Chinatown","April 22, 1937"
318,nm0000698,2025-11-15,2025-11-15,,"Gene Wilder","Willy Wonka & the Chocolate Factory","June 11, 1933"
319,nm0000614,2025-11-15,2025-11-15,,"Alan Rickman","Die Hard","February 21, 1946"
320,nm0000554,2025-11-15,2025-11-15,,"Sam Neill","Jurassic Park","September 14, 1947"
321,nm0000368,2025-11-15,2025-11-15,,"Laura Dern","Jurassic Park","February 10, 1967"
322,nm0000424,2025-11-15,2025-11-15,,"Hugh Grant","Love Actually","September 9, 1960"
323,nm0252230,2025-11-15,2025-11-15,,"Chiwetel Ejiofor","12 Years a Slave","July 10, 1977"
324,nm0001099,2025-11-15,2025-11-15,,"Jeff Daniels","The Squid and the Whale","February 19, 1955"
325,nm0000209,2025-11-15,2025-11-15,,"Tim Robbins","Mystic River","October 16, 1958"
326,nm0000661,2025-11-15,2025-11-15,,"Donald Sutherland","The Hunger Games: Catching Fire","July 17, 1935"
327,nm0000398,2025-11-15,2025-11-15,,"Sally Field","Lincoln","November 6, 1946"
328,nm0000705,2025-11-15,2025-11-15,,"Robin Wright","Forrest Gump","April 8, 1966"
329,nm0628601,2025-11-15,2025-11-15,,"Thandiwe Newton","Crash","November 6, 1972"
330,nm0001557,2025-11-15,2025-11-15,,"Viggo Mortensen","Captain Fantastic","October 20, 1958"
331,nm0000576,2025-11-15,2025-11-15,,"Sean Penn","Mystic River","August 17, 1960"
332,nm1297015,2025-11-15,2025-11-15,,"Emma Stone","La La Land","November 6, 1988"
333,nm0000230,2025-11-15,2025-11-15,,"Sylvester Stallone","Rocky","July 6, 1946"
334,nm0000418,2025-11-15,2025-11-15,,"Danny Glover","Lethal Weapon","July 22, 1946"
335,nm5085683,2025-11-15,2025-11-15,,"Mckenna Grace","Gifted","June 25, 2006"
336,nm0001435,2025-11-15,2025-11-15,,"Lisa Kudrow","Friends","July 30, 1963"
337,nm0279545,2025-11-15,2025-11-15,,"Isla Fisher","Wedding Crashers","February 3, 1976"
338,nm1475594,2025-11-15,2025-11-15,,"Channing Tatum","21 Jump Street","April 26, 1980"
339,nm0001602,2025-11-15,2025-11-15,,"Guy Pearce","Memento","October 5, 1967"
340,nm0000385,2025-11-15,2025-11-15,,"Sam Elliott","A Star Is Born","August 9, 1944"
341,nm0344435,2025-11-15,2025-11-15,,"Ioan Gruffudd","Fantastic Four","October 6, 1973"
342,nm0005377,2025-11-15,2025-11-15,,"Sam Rockwell","Moon","November 5, 1968"
343,nm1195855,2025-11-15,2025-11-15,,"Lee Pace","Foundation","March 25, 1979"
344,nm0269463,2025-11-15,2025-11-15,,"Jon Favreau","Chef","October 19, 1966"
345,nm0000609,2025-11-15,2025-11-15,,"Ving Rhames","Pulp Fiction","May 12, 1959"
346,nm0004936,2025-11-15,2025-11-15,,"Ben Foster","Hell or High Water","October 29, 1980"
347,nm0683253,2025-11-15,2025-11-15,,"Rosamund Pike","Gone Girl","January 27, 1979"
348,nm3485845,2025-11-15,2025-11-15,,"Adam Driver","Star Wars: Episode VII - The Force Awakens","November 19, 1983"
349,nm0000706,2025-11-15,2025-11-15,,"Michelle Yeoh","Everything Everywhere All at Once","August 6, 1962"
350,nm0000027,2025-11-15,2025-11-15,,"Alec Guinness","Star Wars","April 2, 1914"
351,nm0000458,2025-11-15,2025-11-15,,"William Hurt","A History of Violence","March 20, 1950"
352,nm0000460,2025-11-15,2025-11-15,,"Jeremy Irons","Dead Ringers","September 19, 1948"
353,nm0000060,2025-11-15,2025-11-15,,"Gregory Peck","To Kill a Mockingbird","April 5, 1916"
354,nm0000112,2025-11-15,2025-11-15,,"Pierce Brosnan","The World Is Not Enough","May 16, 1953"
355,nm0000513,2025-11-15,2025-11-15,,"William H. Macy","Fargo","March 13, 1950"
356,nm0221046,2025-11-15,2025-11-15,,"Zooey Deschanel","New Girl","January 17, 1980"
357,nm0000685,2025-11-15,2025-11-15,,"Jon Voight","Anaconda","December 29, 1938"
358,nm0671567,2025-11-15,2025-11-15,,"Michael Peña","American Hustle","January 13, 1976"
359,nm0524197,2025-11-15,2025-11-15,,"Josh Lucas","Ford v Ferrari","June 20, 1971"
360,nm0000166,2025-11-15,2025-11-15,,"Helen Hunt","As Good as It Gets","June 15, 1963"
361,nm0534635,2025-11-15,2025-11-15,,"Richard Madden","Game of Thrones","June 18, 1986"
362,nm0000161,2025-11-15,2025-11-15,,"Salma Hayek","Frida","September 2, 1966"
363,nm0000608,2025-11-15,2025-11-15,,"Burt Reynolds","Boogie Nights","February 11, 1936"
364,nm0331516,2025-11-15,2025-11-15,,"Ryan Gosling","Blue Valentine","November 12, 1980"
365,nm0829032,2025-11-15,2025-11-15,,"Ray Stevenson","The Three Musketeers","May 25, 1964"
366,nm1239499,2025-11-15,2025-11-15,,"Rory Kinnear","The Imitation Game","February 17, 1976"
367,nm0378245,2025-11-15,2025-11-15,,"Taraji P. Henson","The Curious Case of Benjamin Button","September 11, 1970"
368,nm0000215,2025-11-15,2025-11-15,,"Susan Sarandon","Thelma & Louise","October 4, 1946"
369,nm1093951,2025-11-15,2025-11-15,,"Aaron Taylor-Johnson","Nocturnal Animals","June 13, 1990"
370,nm0000906,2025-11-15,2025-11-15,,"Annette Bening","American Beauty","May 29, 1958"
371,nm0544718,2025-11-15,2025-11-15,,"Kate Mara","Fantastic Four","February 27, 1983"
372,nm4446467,2025-11-15,2025-11-15,,"Tye Sheridan","Mud","November 11, 1996"
373,nm0614165,2025-11-15,2025-11-15,,"Cillian Murphy","Breakfast on Pluto","May 25, 1976"
374,nm0000144,2025-11-15,2025-11-15,,"Cary Elwes","Saw","October 26, 1962"
375,nm0005123,2025-11-15,2025-11-15,,"Ali Larter","Final Destination","February 28, 1976"
376,nm0004754,2025-11-15,2025-11-15,,"Jessica Biel","The Illusionist","March 3, 1982"
377,nm0428065,2025-11-15,2025-11-15,,"Felicity Jones","Rogue One","October 17, 1983"
378,nm0039162,2025-11-15,2025-11-15,,"Shawn Ashmore","X2","October 7, 1979"
379,nm0001872,2025-11-15,2025-11-15,,"Steve Zahn","War for the Planet of the Apes","November 13, 1967"
380,nm0001173,2025-11-15,2025-11-15,,"Aaron Eckhart","The Dark Knight","March 12, 1968"
381,nm0000353,2025-11-15,2025-11-15,,"Willem Dafoe","Spider-Man","July 22, 1955"
382,nm0913488,2025-11-15,2025-11-15,,"Kerry Washington","Scandal","January 31, 1977"
383,nm0272581,2025-11-15,2025-11-15,,"Rebecca Ferguson","The Greatest Showman","October 19, 1983"
384,nm0908094,2025-11-15,2025-11-15,,"Paul Walker","The Fast and the Furious","September 12, 1973"
385,nm0339304,2025-11-15,2025-11-15,,"Bruce Greenwood","Star Trek","August 12, 1956"
386,nm0670408,2025-11-15,2025-11-15,,"Simon Pegg","The World's End","February 14, 1970"
387,nm2353862,2025-11-15,2025-11-15,,"Dev Patel","Slumdog Millionaire","April 23, 1990"
388,nm0001255,2025-11-15,2025-11-15,,"Victor Garber","Argo","March 16, 1949"
389,nm0000200,2025-11-15,2025-11-15,,"Bill Paxton","Frailty","May 17, 1955"
390,nm0001598,2025-11-15,2025-11-15,,"Robert Patrick","Terminator 2: Judgment Day","November 5, 1958"
391,nm0001473,2025-11-15,2025-11-15,,"Laura Linney","The Big C","February 5, 1964"
392,nm0000741,2025-11-15,2025-11-15,,"Tim Allen","Toy Story","June 13, 1953"
393,nm0000569,2025-11-15,2025-11-15,,"Gwyneth Paltrow","Shakespeare in Love","September 27, 1972"
394,nm0192505,2025-11-15,2025-11-15,,"Kaley Cuoco","The Big Bang Theory","November 30, 1985"
395,nm0000255,2025-11-15,2025-11-15,,"Ben Affleck","Argo","August 15, 1972"
396,nm0000463,2025-11-15,2025-11-15,,"Famke Janssen","X-Men: The Last Stand","November 5, 1964"
397,nm0186505,2025-11-15,2025-11-15,,"Bryan Cranston","Breaking Bad","March 7, 1956"
398,nm0941777,2025-11-15,2025-11-15,,"Sam Worthington","Avatar","August 2, 1976"
399,nm2946516,2025-11-15,2025-11-15,,"Claire Foy","First Man","April 16, 1984"
400,nm0004937,2025-11-15,2025-11-15,,"Jamie Foxx","Ray","December 13, 1967"
401,nm0004851,2025-11-15,2025-11-15,,"Penélope Cruz","Vicky Cristina Barcelona","April 28, 1974"
402,nm1176985,2025-11-15,2025-11-15,,"Dave Bautista","Guardians of the Galaxy","January 18, 1969"
403,nm1086543,2025-11-15,2025-11-15,,"Amanda Seyfried","Les Misérables","December 3, 1985"
404,nm0947447,2025-11-15,2025-11-15,,"Donnie Yen","Ip Man","July 27, 1963"
405,nm0001624,2025-11-15,2025-11-15,,"Oliver Platt","The Three Musketeers","January 12, 1960"
406,nm0322407,2025-11-15,2025-11-15,,"Brendan Gleeson","Calvary","March 29, 1955"
407,nm3053338,2025-11-15,2025-11-15,,"Margot Robbie","Suicide Squad","July 2, 1990"
408,nm0000495,2025-11-15,2025-11-15,,"Téa Leoni","The Family Man","February 25, 1966"
409,nm0000775,2025-11-15,2025-11-15,,"Christina Applegate","Don't Tell Mom the Babysitter's Dead","November 25, 1971"
410,nm0004789,2025-11-15,2025-11-15,,"Amanda Bynes","Hairspray","April 3, 1986"
411,nm0000380,2025-11-15,2025-11-15,,"Robert Duvall","The Apostle","January 5, 1931"
412,nm0005561,2025-11-15,2025-11-15,,"Luke Wilson","Old School","September 21, 1971"
413,nm0182839,2025-11-15,2025-11-15,,"Marion Cotillard","Inception","September 30, 1975"
414,nm0000558,2025-11-15,2025-11-15,,"Leslie Nielsen","Airplane!","February 11, 1926"
415,nm0935653,2025-11-15,2025-11-15,,"Ray Winstone","The Departed","February 19, 1957"
416,nm0004266,2025-11-15,2025-11-15,,"Anne Hathaway","Les Misérables","November 12, 1982"
417,nm0000111,2025-11-15,2025-11-15,,"Matthew Broderick","The Producers","March 21, 1962"
418,nm5896355,2025-11-15,2025-11-15,,"Anya Taylor-Joy","The Queen's Gambit","April 16, 1996"
419,nm0631490,2025-11-15,2025-11-15,,"Bill Nighy","Love Actually","December 12, 1949"
420,nm0001993,2025-11-15,2025-11-15,,"Vincent Cassel","L'ennemi public n°1","November 23, 1966"
421,nm0000130,2025-11-15,2025-11-15,,"Jamie Lee Curtis","True Lies","November 22, 1958"
422,nm0001722,2025-11-15,2025-11-15,,"Rufus Sewell","A Knight's Tale","October 29, 1967"
423,nm0000450,2025-11-15,2025-11-15,,"Philip Seymour Hoffman","The Master","July 23, 1967"
424,nm0296545,2025-11-15,2025-11-15,,"Nick Frost","Paul","March 28, 1972"
425,nm0170550,2025-11-15,2025-11-15,,"Gary Cole","Talladega Nights: The Ballad of Ricky Bobby","September 20, 1956"
426,nm0778831,2025-11-15,2025-11-15,,"Andrew Scott","All of Us Strangers","October 21, 1976"
427,nm0365140,2025-11-15,2025-11-15,,"Naomie Harris","Moonlight","September 6, 1976"
428,nm0001326,2025-11-15,2025-11-15,,"Josh Hartnett","Lucky Number Slevin","July 21, 1978"
429,nm0206257,2025-11-15,2025-11-15,,"Rosario Dawson","Rent","May 9, 1979"
430,nm0000170,2025-11-15,2025-11-15,,"Milla Jovovich","The Fifth Element","December 17, 1975"
431,nm1727304,2025-11-15,2025-11-15,,"Domhnall Gleeson","Ex Machina","May 12, 1983"
432,nm0000313,2025-11-15,2025-11-15,,"Jeff Bridges","The Big Lebowski","December 4, 1949"
433,nm0005251,2025-11-15,2025-11-15,,"Carrie-Anne Moss","The Matrix","August 21, 1967"
434,nm5397459,2025-11-15,2025-11-15,,"Daisy Ridley","Star Wars: Episode VII - The Force Awakens","April 10, 1992"
435,nm0002139,2025-11-15,2025-11-15,,"Judd Hirsch","Taxi","March 15, 1935"
436,nm4972453,2025-11-15,2025-11-15,,"Olivia Cooke","Ready Player One","December 27, 1993"
437,nm1500155,2025-11-15,2025-11-15,,"Robert Pattinson","Twilight","May 13, 1986"
438,nm0000331,2025-11-15,2025-11-15,,"Chevy Chase","Memoirs of an Invisible Man","October 8, 1943"
439,nm0000708,2025-11-15,2025-11-15,,"Billy Zane","Titanic","February 24, 1966"
440,nm1137209,2025-11-15,2025-11-15,,"Tatiana Maslany","Perry Mason","September 22, 1985"
441,nm1072555,2025-11-15,2025-11-15,,"Morena Baccarin","Deadpool","June 2, 1979"
442,nm1083271,2025-11-15,2025-11-15,,"Megan Fox","Transformers","May 16, 1986"
443,nm0004802,2025-11-15,2025-11-15,,"Linda Cardellini","Scooby-Doo","June 25, 1975"
444,nm0001848,2025-11-15,2025-11-15,,"Dianne Wiest","Bullets Over Broadway","March 28, 1948"
445,nm0788335,2025-11-15,2025-11-15,,"Michael Shannon","Take Shelter","August 7, 1974"
446,nm0001667,2025-11-15,2025-11-15,,"Jonathan Rhys Meyers","Den 12. mann","July 27, 1977"
447,nm0914612,2025-11-15,2025-11-15,,"Emma Watson","The Perks of Being a Wallflower","April 15, 1990"
448,nm0001082,2025-11-15,2025-11-15,,"Billy Crudup","Almost Famous","July 8, 1968"
449,nm0000026,2025-11-15,2025-11-15,,"Cary Grant","Arsenic and Old Lace","January 18, 1904"
450,nm0001570,2025-11-15,2025-11-15,,"Edward Norton","Fight Club","August 18, 1969"
451,nm0000246,2025-11-15,2025-11-15,,"Bruce Willis","Die Hard","March 19, 1955"
452,nm0000531,2025-11-15,2025-11-15,,"Frances McDormand","Three Billboards Outside Ebbing, Missouri","June 23, 1957"
453,nm0001472,2025-11-15,2025-11-15,,"Jet Li","Huo Yuan Jia","April 26, 1963"
454,nm0001567,2025-11-15,2025-11-15,,"Connie Nielsen","Gladiator","July 3, 1965"
455,nm0001745,2025-11-15,2025-11-15,,"Stellan Skarsgård","Affeksjonsverdi","June 13"
456,nm0001303,2025-11-15,2025-11-15,,"Carla Gugino","Watchmen","August 29, 1971"
457,nm3918035,2025-11-15,2025-11-15,,"Zendaya","Spider-Man: Homecoming","September 1, 1996"
458,nm0005109,2025-11-15,2025-11-15,,"Mila Kunis","Black Swan","August 14, 1983"
459,nm0000195,2025-11-15,2025-11-15,,"Bill Murray","Lost in Translation","September 21, 1950"
460,nm0005266,2025-11-15,2025-11-15,,"Craig T. Nelson","Coach","April 4, 1944"
461,nm0252961,2025-11-15,2025-11-15,,"Idris Elba","Beasts of No Nation","September 6, 1972"
462,nm0000532,2025-11-15,2025-11-15,,"Malcolm McDowell","A Clockwork Orange","June 13, 1943"
463,nm0565250,2025-11-15,2025-11-15,,"Melissa McCarthy","The Heat","August 26, 1970"
464,nm0842770,2025-11-15,2025-11-15,,"Tilda Swinton","We Need to Talk About Kevin","November 5, 1960"
465,nm0000225,2025-11-15,2025-11-15,,"Christian Slater","Very Bad Things","August 18, 1969"
466,nm1154749,2025-11-15,2025-11-15,,"Sofia Boutella","Kingsman: The Secret Service","April 3, 1982"
467,nm0005286,2025-11-15,2025-11-15,,"Haley Joel Osment","The Sixth Sense","April 10, 1988"
468,nm0000453,2025-11-15,2025-11-15,,"Ian Holm","The Lord of the Rings: The Fellowship of the Ring","September 12, 1931"
469,nm0056187,2025-11-15,2025-11-15,,"Sacha Baron Cohen","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","October 13, 1971"
470,nm1785339,2025-11-15,2025-11-15,,"Rami Malek","Bohemian Rhapsody","May 12, 1981"
471,nm8958770,2025-11-15,2025-11-15,,"Paul Mescal","Aftersun","February 2, 1996"
472,nm0000652,2025-11-15,2025-11-15,,"James Spader","The Blacklist","February 7, 1960"
473,nm0001467,2025-11-15,2025-11-15,,"Jared Leto","Dallas Buyers Club","December 26, 1971"
474,nm0429363,2025-11-15,2025-11-15,,"Toby Jones","Tinker Tailor Soldier Spy","September 7, 1966"
475,nm0425005,2025-11-15,2025-11-15,,"Dwayne Johnson","Black Adam","May 2, 1972"
476,nm0000193,2025-11-15,2025-11-15,,"Demi Moore","G.I. Jane","November 11, 1962"
477,nm0001086,2025-11-15,2025-11-15,,"Alan Cumming","The Anniversary Party","January 27, 1965"
478,nm0910607,2025-11-15,2025-11-15,,"Christoph Waltz","Django Unchained","October 4, 1956"
479,nm0000849,2025-11-15,2025-11-15,,"Javier Bardem","Skyfall","March 1, 1969"
480,nm3948952,2025-11-15,2025-11-15,,"Vanessa Kirby","The Crown","April 18, 1987"
481,nm1886602,2025-11-15,2025-11-15,,"Miles Teller","Whiplash","February 20, 1987"
482,nm0935541,2025-11-15,2025-11-15,,"Mary Elizabeth Winstead","10 Cloverfield Lane","November 28, 1984"
483,nm0000619,2025-11-15,2025-11-15,,"Tim Roth","Rob Roy","May 14, 1961"
484,nm0000729,2025-11-15,2025-11-15,,"Casey Affleck","Manchester by the Sea","August 12, 1975"
485,nm0705356,2025-11-15,2025-11-15,,"Daniel Radcliffe","Harry Potter and the Deathly Hallows: Part 2","July 23, 1989"
486,nm3154303,2025-11-15,2025-11-15,,"Timothée Chalamet","A Complete Unknown","December 27, 1995"
487,nm0597388,2025-11-15,2025-11-15,,"Jason Momoa","Aquaman","August 1, 1979"
488,nm3400186,2025-11-15,2025-11-15,,"Julia Garner","The Assistant","February 1, 1994"
489,nm1159180,2025-11-15,2025-11-15,,"Ed Helms","The Hangover","January 24, 1974"
490,nm0913822,2025-11-15,2025-11-15,,"Ken Watanabe","The Last Samurai","October 21, 1959"
491,nm0275486,2025-11-15,2025-11-15,,"Tina Fey","Date Night","May 18, 1970"
492,nm0000496,2025-11-15,2025-11-15,,"Juliette Lewis","Cape Fear","June 21, 1973"
493,nm0000681,2025-11-15,2025-11-15,,"Vince Vaughn","The Break-Up","March 28, 1970"
494,nm1935086,2025-11-15,2025-11-15,,"Tessa Thompson","Creed","October 3, 1983"
495,nm0001136,2025-11-15,2025-11-15,,"Bruce Dern","Nebraska","June 4, 1936"
496,nm0000369,2025-11-15,2025-11-15,,"Matt Dillon","There's Something About Mary","February 18, 1964"
497,nm0000182,2025-11-15,2025-11-15,,"Jennifer Lopez","Hustlers","July 24, 1969"
498,nm1412974,2025-12-27,2025-12-27,,"Glen Powell","Hit Man","October 21, 1988"
